AffyID;logFC;AveExpr;t;P.Value;adj.P.Val;B
10358563;-3,139595122;8,466015386;-6,15542752;0,000179868;0,000906378;0,787004244
10343435;-3,690863148;5,718460395;-6,111911038;0,000189449;0,000940523;0,731692331
10502575;3,108157513;7,64689607;6,08194627;0,000196369;0,000964375;0,693455695
10405047;-3,633241583;10,20304411;-6,041726522;0,000206093;0,000998887;0,64194051
10495186;3,069497679;7,594960168;6,033024557;0,000208265;0,001005578;0,630765532
10358617;-3,424514278;8,206782972;-5,965552834;0,00022598;0,001062259;0,543766111
10456353;3,485767367;7,654156142;5,85218969;0,000259549;0,001169352;0,396177816
10358533;-3,610241543;8,859746961;-5,627666905;0,000343202;0,001418282;0,098573672
10358652;-3,918783055;8,457589717;-5,60122705;0,000354841;0,001444221;0,063060386
10338479;3,315616464;4,649086297;5,484292629;0,000411706;0,001605925;-0,095192559
10358535;-3,845327825;7,801783083;-5,480685558;0,000413611;0,001611125;-0,100105118
10341006;-3,129715114;4,654767677;-5,473704067;0,000417324;0,001620618;-0,109618655
10551883;-3,25188303;10,24367394;-5,352092587;0,000488159;0,001798574;-0,276453259
10561187;3,129895042;9,225291636;5,27860337;0,000537208;0,00193408;-0,378297213
10338901;-3,196261071;6,005969243;-4,645191354;0,00126608;0,00353794;-1,288199678
10411527;4,156641422;8,913908904;4,585425605;0,001376881;0,003745134;-1,376995692
10600707;4,813903728;7,549469656;4,243228033;0,002248315;0,005372385;-1,894823988
10578017;3,393311129;6,52652785;4,056470332;0,002959178;0,00656127;-2,183913885
10338365;-3,537380061;5,338624692;-3,759377911;0,004627256;0,009203474;-2,652377771
